|A JosiBar
|es un tandero
|Lo van a CONCENTRAR JA JA JA LEY SECA
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|Sobrio? No creo...
|es q esta jugando muy buen jaibol
|Jumas y gordo
|Pónganlo a dieta a ese panzón!
|Para q si solo cuando juega con equipos pequenos juega xq en la finales no hiso nada
|Herediano solo a equipo de bajo nivel le fuega bien x q con equipo grande no sirve para nada y a yosimar q deje de tomar x q parese un chancho coquinvo
|LIKE Liga Noticias Eloy Rojas
|que manera de jugador!!! Grande Yosimar!!
|Excelente Yosi.   Eres excelente jugador.  Siga asi, campeón.
|que va, viene palmares y josimar no perdona fiesta alguna..
|Para que si al final se CAGA todo ....
|Se suponía que la despedida de la sele la iban hacer contra una selección clase A... A tolillo con el dedo es Lo que siempre nos dan!! Está paraguaya ni a repechaje llegó en Sudamérica...
|Puuff, gran fogueo, muy parecido al fútbol de Inglaterra o italia,  hubiera sido mejor Colombia o ecuador que si clasificaron.
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|Adrián Octavio Castillo Cordero Fabricio Rodríguez Guido Murillo G. Arquitecto Pablo A. Jimenez Zumbado
|igual juegan como sí estuvieran quebrados
|Igual Ronald no los va aponer..
|Hay que monton
|Lo k le tienen listo es la valija!!!
|Uno dos por lo menos no tenemos nd
|Si que metan a Justin
|Kien es?? Alguien sabe
|Jajaja ese equipito ni con mesi ase nada
|Ante tanta payasada de los ultimos años, si este brazileño no pega, quien lo trajo al club y tomó la decisión de contratarlo debería ser despedido.
|Marco ureña
|Arrieta.... Jajaja
|Fuera del sapri no lo queremos es UN fracasado roba sueldo
|robert pinho brasileño
|Se llama Jhonny Woodly
|Pipo Inzagui y Del Piero.
|Que Ronald González se jalé!!!
|acopio
|Fácil saber quién es: revisen la lista de los convictos recién salidos ayer de la reforma, fijo alguno de esos es... Jajaja
|Se llama marcos ureña la plata manda y busquen a ese mae
|falcao jaja
|cr7
|Ojalá fuera marco ureña.
|Rooney
|Tortugol
|Que se largue Ronald bueno para nada lo único que as hecho por el equipo es llévalo al precipicio
|Mejor traigan el 11 ideal de Europa y les ponen la camisa Lila a ver sí acaso Jajajaja
|Lo que deberia tener listo es la maleta, pero para que se large de una vez por todas .
|Rajado lo cabezon...  Dice que no hara cambios.  solo un par! seguimos con Guzman,  Russel,  Martinez  y Donny…
|que lo hagan rápido xq al día está sufriendo jajaja es en serio
|No quiero ni imaginar con la tontera con la que van a salir, y otra vez la burla de todos.....
|El tigre falcao ja ja
|Evaristo coronada
|alvaro saborio
|Marco Ureña gana 30 millones de colones mensuales en Rusia. Y sólo estando sentado. Jamás vendría a un club tico a menos que lo echen de allá.
|Un jugador de Guatemala, fijo debe ser amigo y malo!
|jale mejor mae sea mas serio 
|Ah la.pucha q miedo ! Jajaja
|rivery
|Por favor no contraten paquetasos que solo uienen a quitarle campo a los jovenes!!!
|Quien es?
|Todo el mundo sabe que es Ureña... Que clase de entrenador solo con los jugadores que le dieron algo en 2009!!! Será acaso  que con otros jugadores que no sean eso NO SABE DIRIGIR? Jejejeje
|Saludos amigos, los invito a un juego de fútbol en internet, pueden crear y dirigir su propio equipo, comprar y vender jugadores, mejorar el Estadio y las instalaciones... Éxitos (se puede conectar desde celular) http://www.powerplaymanager.com/r1216054
|Capaz que vienen y se lesionan
|Ocupan un jugador de área e hicieron lo posible para se fuera Lagos ahora buscan otro q les va a costar el quintuple así o más bestias
|Mientras no ponga a jesustin de centro delantero
|El pescadito ruiz un amigo mas de don Ronal 
|Chiqui Brenes cambio de castillo ahí se las dejo lilas
